Año;Ramas de actividad;Tamaño de la empresa;Tipo de indicador;Total
2016;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;2.98
2016;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;2.95
2016;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);2483990
2016;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);4325338
2016;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);6809329
2016;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;71.09
2016;TOTAL SERVICIOS;250 y más empleados;I+D interna;32.82
2016;TOTAL SERVICIOS;Total;I+D interna;46.78
2016;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);8.73
2016;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);12.44
2016;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);11.09
2016;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;10.65
2016;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;30.02
2016;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.95
2016;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.53
2016;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;10.87
2016;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;7.1
2016;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;0.82
2016;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;0.72
2016;TOTAL SERVICIOS;Total;Formación para actividades de innovación;0.76
2016;TOTAL SERVICIOS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.12
2016;TOTAL SERVICIOS;250 y más empleados;Introducción de innovaciones en el mercado;2.57
2016;TOTAL SERVICIOS;Total;Introducción de innovaciones en el mercado;2.77
2016;TOTAL SERVICIOS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;5.07
2016;TOTAL SERVICIOS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;10.56
2016;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;8.56
2015;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);4576610
2015;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);9097567
2015;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);13674177
2015;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;62.23
2015;TOTAL EMPRESAS;250 y más empleados;I+D interna;41.46
2015;TOTAL EMPRESAS;Total;I+D interna;48.41
2015;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.33
2015;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);19.68
2015;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);17.22
2015;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;16.87
2015;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;21.26
2015;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;19.79
2015;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.73
2015;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;7.65
2015;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;5.33
2015;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.77
2015;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.36
2015;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.49
2015;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.33
2015;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;3.78
2015;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;3.63
2015;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;3.74
2015;TOTAL EMPRESAS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;5.81
2015;TOTAL EMPRESAS;Total;Diseño, otros preparativos para producción y/o distribución;5.12
2015;TOTAL INDUSTRIA;Menos de 250 empleados;Gastos totales (miles de euros);1938520
2015;TOTAL INDUSTRIA;250 y más empleados;Gastos totales (miles de euros);4561240
2015;TOTAL INDUSTRIA;Total;Gastos totales (miles de euros);6499759
2015;TOTAL INDUSTRIA;Menos de 250 empleados;I+D interna;54.35
2015;TOTAL INDUSTRIA;250 y más empleados;I+D interna;48.59
2015;TOTAL INDUSTRIA;Total;I+D interna;50.31
2015;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de  I+D (I+D externa);13.16
2015;TOTAL INDUSTRIA;250 y más empleados;Adquisición de  I+D (I+D externa);23.19
2015;TOTAL INDUSTRIA;Total;Adquisición de  I+D (I+D externa);20.2
2015;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;24.04
2015;TOTAL INDUSTRIA;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;16.88
2015;TOTAL INDUSTRIA;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;19.01
2015;TOTAL INDUSTRIA;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.46
2015;TOTAL INDUSTRIA;250 y más empleados;Adquisición de otros conocimientos externos para innovación;4.87
2015;TOTAL INDUSTRIA;Total;Adquisición de otros conocimientos externos para innovación;3.55
2015;TOTAL INDUSTRIA;Menos de 250 empleados;Formación para actividades de innovación;0.7
2015;TOTAL INDUSTRIA;250 y más empleados;Formación para actividades de innovación;0.13
2015;TOTAL INDUSTRIA;Total;Formación para actividades de innovación;0.3
2015;TOTAL INDUSTRIA;Menos de 250 empleados;Introducción de innovaciones en el mercado;4.3
2015;TOTAL INDUSTRIA;250 y más empleados;Introducción de innovaciones en el mercado;3.83
2015;TOTAL INDUSTRIA;Total;Introducción de innovaciones en el mercado;3.97
2015;TOTAL INDUSTRIA;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;3
2015;TOTAL INDUSTRIA;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;2.51
2015;TOTAL INDUSTRIA;Total;Diseño, otros preparativos para producción y/o distribución;2.66
2015;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);2526920
2015;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);4422378
2015;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);6949298
2015;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;68.37
2015;TOTAL SERVICIOS;250 y más empleados;I+D interna;33.13
2015;TOTAL SERVICIOS;Total;I+D interna;45.94
2015;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);11.85
2015;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);16.33
2015;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);14.7
2015;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;11.01
2015;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;26.24
2015;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.7
2015;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.97
2015;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;10.69
2015;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;7.16
2015;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;0.77
2015;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;0.6
2015;TOTAL SERVICIOS;Total;Formación para actividades de innovación;0.66
2015;TOTAL SERVICIOS;Menos de 250 empleados;Introducción de innovaciones en el mercado;2.65
2015;TOTAL SERVICIOS;250 y más empleados;Introducción de innovaciones en el mercado;3.71
2015;TOTAL SERVICIOS;Total;Introducción de innovaciones en el mercado;3.33
2015;TOTAL SERVICIOS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;4.39
2015;TOTAL SERVICIOS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;9.3
2015;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;7.51
2014;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);4494878
2014;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);8464964
2014;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);12959842
2014;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;62.6
2014;TOTAL EMPRESAS;250 y más empleados;I+D interna;43.06
2014;TOTAL EMPRESAS;Total;I+D interna;49.84
2014;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);11.68
2014;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);20.93
2014;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);17.72
2014;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;17.82
2014;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;19.11
2014;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;18.67
2014;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;0.94
2014;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;7.91
2014;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;5.5
2014;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.79
2014;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.51
2014;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.61
